System,material_id,E per atom above ground state,num__ElementProperty_MagpieData maximum NpValence,Shear Modulus Voigt,range oxidation state,Melting Point (K),num__ElementProperty_MagpieData avg_dev GSbandgap,num__ElementProperty_MagpieData mode NUnfilled,num__ElementProperty_MagpieData mean NUnfilled,num__DensityFeatures_vpa,num__ElementProperty_MagpieData mean NpUnfilled,num__ElementProperty_MagpieData range SpaceGroupNumber
YI3,mp-571442,0.1141446321500003,5.0,,4,1259.0,0.39825,1.0,3.0,45.306126753495,0.75,130.0
ZrI4,mp-571235,0.0859079025333331,5.0,,5,713.0,0.33984,1.0,2.4,44.17047667934408,0.8,130.0
NbI5,mp-569578,0.1104648151960789,5.0,,6,660.0,0.295,1.0,2.0,41.66628847215972,0.8333333333333334,165.0
InI3,mp-567789,0.1472294182750002,5.0,,4,492.0,0.39825,1.0,2.0,46.84276918134,2.0,75.0
SnI2,mp-27194,0.0418349815686274,5.0,5.84,3,575.0,0.472,1.0,2.0,40.28818728486138,2.0,77.0
SnI4,mp-23182,0.09116468785,5.0,,5,491.0,0.33984,1.0,1.6,50.1986017172142,1.6,77.0
SbI3,mp-23281,0.1176132119500001,5.0,2.924,4,586.0,0.39825,1.0,1.5,43.99724679664578,1.5,102.0
TeI4,mp-570884,0.07530909905,5.0,,5,561.0,0.1913599999999999,1.0,1.2,49.00250483174358,1.2,88.0
HfI4,mp-569059,0.0574773773999996,5.0,,5,658.0,0.33984,1.0,2.4,43.45589465011501,0.8,130.0
TaI5,mp-570679,0.142269675833333,5.0,,6,645.0,0.295,1.0,2.0,42.19334702916802,0.8333333333333334,165.0
LaI3,mp-27979,0.0821059224000002,5.0,6.783,4,1035.0,0.39825,1.0,3.0,41.39230346078501,0.75,130.0
Li3N,mp-2251,0.1367927563000002,3.0,38.585,4,1083.0,2.413875,1.0,1.5,10.874344756695969,0.75,35.0
Mg3N2,mp-1559,0.2307549807499995,3.0,78.311,5,1785.0,3.0897600000000005,0.0,1.2,12.245675261606925,1.2,0.0
AlN,mp-661,0.3985595507999999,3.0,122.74,6,2750.0,3.2185,3.0,4.0,10.631820769545108,4.0,31.0
Si3N4,mp-988,0.397307261380952,3.0,126.611,7,1547.0,2.774204081632653,3.0,3.4285714285714284,10.392616506468476,3.4285714285714284,33.0
Ca3N2,mp-844,0.2078401155499998,3.0,33.751,5,1803.0,3.0897600000000005,0.0,1.2,18.68514943782586,1.2,31.0
ScN,mp-2857,0.4470837529999993,3.0,156.19,6,2747.0,3.2185,3.0,6.0,11.473936086227408,1.5,0.0
TiN,mp-492,0.1155545146000012,3.0,195.627,6,3225.0,3.2185,3.0,5.5,9.536536585459231,1.5,0.0
VN,mp-1018027,0.4046884219999995,3.0,,6,2481.0,3.2185,3.0,5.0,8.548510431243733,1.5,35.0
CrN,mp-2132,0.0971047693000013,3.0,64.385,6,2073.0,3.2185,3.0,4.5,9.20063813848239,1.5,35.0
FeN,mp-6988,0.3010660740999995,3.0,85.239,6,1848.0,3.2185,3.0,3.5,9.249731794592432,1.5,35.0
Zn3N2,mp-9460,0.1491886836999998,3.0,56.69,5,1579.0,3.0897600000000005,0.0,1.2,11.519590500913845,1.2,0.0
GaN,mp-804,0.6211450974999995,3.0,106.225,6,1714.0,3.2185,3.0,4.0,11.432080897320857,4.0,130.0
Ge3N4,mp-672289,0.2990871500714283,3.0,91.761,7,1383.0,2.9652244897959186,3.0,3.4285714285714284,12.43642047156605,3.4285714285714284,31.0
YN,mp-2114,0.1827286658000009,3.0,120.861,6,2868.0,3.2185,3.0,6.0,14.6766386197419,1.5,0.0
Zr3N4,mp-277,0.1626262540952385,3.0,,7,3226.0,3.1528163265306124,3.0,5.142857142857143,12.442126914502738,1.7142857142857142,0.0
NbN,mp-2634,0.4159999125000002,3.0,212.964,6,2439.0,3.2185,3.0,5.0,11.09076318814715,1.5,35.0
Hf3N4,mp-776470,0.1935749858333348,3.0,,7,3471.0,3.1528163265306124,3.0,5.142857142857143,11.981983740860132,1.7142857142857142,0.0
Ta3N5,mp-27488,0.301187402451923,3.0,103.167,8,3149.0,3.01734375,3.0,4.5,12.850297449032867,1.875,35.0
LaN,mp-256,0.2175252289999996,3.0,67.599,6,2944.0,3.2185,3.0,6.0,18.615958886849835,1.5,0.0
LiF,mp-1138,0.0848984873000002,5.0,50.976,2,1112.0,0.985,1.0,1.0,8.51107560207809,0.5,214.0
NaF,mp-682,0.1146074625999995,5.0,30.481,2,1275.0,0.985,1.0,1.0,11.944513130030131,0.5,214.0
MgF2,mp-1249,0.140264209117646,5.0,55.229,3,1490.0,0.8755555555555556,1.0,0.6666666666666666,10.819651651535182,0.6666666666666666,179.0
AlF3,mp-468,0.1520446667999992,5.0,58.043,4,1089.0,0.73875,1.0,2.0,10.679272957889818,2.0,210.0
SiF4,mp-1818,0.0423714042999998,5.0,4.654,5,298.0,0.3830399999999999,1.0,1.6,14.741415769706222,1.6,212.0
KF,mp-463,0.0993055567,5.0,17.521,2,1121.0,0.985,1.0,1.0,18.702759347064404,0.5,214.0
