material_id,pred_E_per_atom_above_ground_state,System
mp-10464,0.1468254602662011,CaF2
mp-224,0.2812828943602796,WS2
mp-1101969,0.2539716059841736,TiS2
mp-1103643,0.251109490880861,NiS2
mp-1602,0.1645125368290849,SiS2
mp-976920,0.2444290188942078,Ni9S8
mp-990083,0.2426528231348856,MoS2
mp-1018804,0.3107134756441949,MnS2
mp-1095397,0.214348473516434,SnS2
mp-776321,0.2577109320700352,WN2
mp-850049,0.3395934077901998,CoS2
mp-1522,0.3957645185056363,FeS2
mp-7475,0.2060408548027702,La2S3
mp-12180,0.1785127594792936,NaS2
mp-22889,0.0875102573780806,ZnCl2
mp-1182183,0.1433921583876846,CaO10
mp-753593,0.2290456391293323,Ti10O13
mp-2589,0.2301369491405245,MgO2
mp-1179358,0.083043592533422,Ti3O7
mp-1205567,0.1073710908840378,Y2Br3
mp-19184,0.251866148871453,VO
mp-1178828,0.1420799288793318,V3O8
mp-31040,0.0878541675019985,NbCl4
mp-1061865,0.2774773477950841,TeN2
mp-1100795,0.0842185023697201,ZrCl3
mp-614565,0.1236081606373995,CuO2
mp-865605,0.1054044485020633,YBr3
mp-1186248,0.0516267274720141,NbF5
mp-571143,0.0866984646327619,TiCl3
mp-980949,0.0799687335927858,WCl4
mp-799,0.236731652911274,V3S4
mp-1470,0.1890146076619593,Nb12O29
mp-29465,0.0810386883669512,TaCl4
mp-1183765,0.1020956746084638,CrBr2
mp-863316,0.1825630091884253,FeO3
mp-1218065,0.238353901629566,Ta6O
mp-680850,0.2317414342693041,Ti8S3
mp-570219,0.0916340142947937,InBr3
mp-567687,0.0863019182244758,CrI2
mp-1080428,0.0991175677471749,NbBr4
mp-401,0.222282692804315,Sc2S3
mp-569855,0.0853889893206662,MoCl5
mp-978846,0.0872290926241717,SnI2
mp-33032,0.1379731653054142,La2O3
mp-1064952,0.1984273888206184,NaN3
mp-21515,0.2779912680790914,Fe3S4
mp-23240,0.0912080027882076,CoCl2
mp-25470,0.0922349141023104,AlCl3
mp-775837,0.2153820890388559,Sc2O3
mp-849084,0.2565294715532226,Cr5S8
mp-1218055,0.2296223902824428,Ta7S12
mp-569960,0.0899208409015767,ZnBr2
mp-1195927,0.2246930063796521,Fe13O19
mp-29831,0.0780488732800951,TaCl5
mp-1180279,0.1076159705439353,MgF2
mp-1180203,0.1623076915478401,MoO4
mp-656887,0.1914046872904646,Ni3O4
mp-1064706,0.2334814741499261,MoN
mp-27678,0.1057225092077581,Y2Cl3
mp-754806,0.1999689326359072,Ni5O6
mp-30524,0.2027253739634688,Ti6O11
mp-776603,0.0850326572399439,Mn15O32
mp-1100921,0.2089369424870803,V7O3
mp-571266,0.082159516204026,GaCl3
mp-752536,0.1498681699969371,Mn5O8
mp-1062228,0.2020466385381223,CaO2
mp-1095187,0.2172170844128073,Nb2O3
mp-568293,0.2122108831830495,Ca3N2
mp-570884,0.0841537287219964,TeI4
mp-1218017,0.2392883534435448,Ta5S8
mp-569890,0.0854289447163973,CrCl3
mp-1079159,0.2222162291070328,Ta2O3
mp-15670,0.214570772315962,Y5S7
mp-1058159,0.1602615914659939,NaS
mp-568846,0.0865339181867779,TaBr5
mp-504594,0.1074788180551743,ZrBr
mp-684640,0.0885121230406024,MoCl3
mp-32813,0.2169738985677307,Ti9O10
mp-715557,0.1830664200566146,W3O8
mp-1014444,0.1548089108814129,Cr3N2
mp-1207843,0.3136086186276476,V7S8
mp-690772,0.2432763360135569,V5S8
mp-754874,0.1470164261068827,Cr3O8
mp-1080193,0.2975676934715852,MoN2
mp-1096770,0.0922848059357066,Ni3Cl4
mp-2659,0.1955781983037126,LiN3
mp-1018789,0.1698933699498645,LiO2
mp-1078181,0.0961103739246992,SiBr3
mp-246,0.1428481618820543,TiF3
mp-1217166,0.2291940135537054,Ti5S8
mp-27455,0.0891401334069605,YCl3
mp-1215543,0.243972323449764,Zr3S4
mp-1180210,0.112612774504508,NaO5
mp-1094110,0.0919341022722282,Ni5Cl6
mp-542449,0.0870670076884136,Sc5Cl8
mp-1078239,0.0904386630398891,WBr4
mp-27160,0.0793361275650792,WCl5
mp-773019,0.1424115485958894,V12O29
mp-1220830,0.3474256471776071,Nb12N11
mp-23273,0.0915238427897099,TeI
mp-568483,0.0797586207657261,NbCl5
mp-1217192,0.2372999933549004,Ti2S3
mp-1173647,0.3385282587864962,Nb20N17
mp-27513,0.0902002114907645,Sc7Cl10
mp-1173536,0.1451970751376226,Si6O13
mp-1205504,0.2277941795768147,V7O4
mp-30544,0.144996769849978,Mo5O14
mp-1104734,0.0882852995957875,TeBr6
mp-1104544,0.1717623890822501,Sn3O4
mp-1147622,0.2102543618289566,InS2
mp-1508,0.2091072931787192,LaS2
mp-557579,0.08016733225623,LaS
mp-1925,0.2547040350277629,ZrS
mp-1064647,0.096655081258467,KN
mp-1478,0.1509451052914386,Cu4O3
mp-13132,0.2509364759552,LaN
mp-1274,0.3058980721666484,CoS
mp-673245,0.0858374019655237,CuI
mp-21410,0.3182197722560088,FeS
mp-1197211,0.1600754696408489,Sb3O8
mp-1205212,0.1323693571944953,B2F3
mp-1221517,0.0896226575831101,MoCl4
mp-569175,0.0810500561515269,ZrCl4
mp-1205372,0.075725887883658,VCl4
mp-640818,0.2053176687152996,Mo9O26
mp-1201958,0.1674176526043539,Mo8O23
mp-1188071,0.0844182041468906,ZrI4
mp-28777,0.1452586638833542,Mo9O25
mp-714911,0.1936596955468942,V3O5
mp-29422,0.0809842179814527,HfCl4
mp-754983,0.155781880462215,CrO
mp-1009483,0.332795028287728,NiN
mp-1009019,0.3038273942400446,FeN
mp-1247928,0.0907987342366631,BCl
mp-28212,0.2443222552064757,Nb4O5
mp-7812,0.0863343457854431,GeO2
mp-1180165,0.1309218318856185,NaO2
mp-864647,0.2423311517945243,Hf2N
mp-862329,0.0879643502223134,ScI2
mp-865534,0.1156322536467705,YBr2
mp-556911,0.1450596591109126,FeF2
mp-556324,0.1152829042002005,NiF2
mp-555934,0.1139874489073203,VF2
mp-29862,0.0888805505801189,SnBr2
mp-714972,0.2389112766189718,V8O
mp-22888,0.0985346763442004,CaBr2
mp-7790,0.2195878679003086,Ti2N
mp-1188283,0.281515277707958,V8N
mp-976802,0.0814198995812739,KF2
mp-862565,0.0964963320128493,ScBr2
mp-571627,0.0883669817214711,CaCl2
mp-7709,0.1184146817932913,ZnF2
mp-862773,0.0846175247707878,TeI2
mp-683983,0.1682849250857062,TaO2
mp-541610,0.0887471151226601,GeBr2
mp-555908,0.1410098702176773,CoF2
mp-680640,0.2103253864121301,Ca11N8
mp-1014265,0.2235111486974438,Zr2N
mp-862373,0.1990096401439081,ScS2
mp-759097,0.0885872916827854,VF3
mp-1067833,0.0849364809595501,SnI3
mp-1080172,0.3095498783429947,TiN2
mp-827,0.1754147635115809,KN3
mp-998913,0.0892243971579353,KO3
mp-541103,0.0506911895414921,MnF4
mp-1443,0.0700583381750371,Sn3F8
mp-757128,0.0547926633356548,VF5
mp-29866,0.0798431835382177,SnCl4
mp-541053,0.0904710479609585,SiI2
mp-1182911,-0.011184402949337,AlO3
mp-569152,0.0834493610941877,SnCl2
mp-30954,0.0790155975169757,GaI3
mp-30930,0.0788289543756882,AlI3
mp-1196514,0.1258215793222066,KS3
mp-567789,0.0811742983212959,InI3
mp-760309,0.0776806954962125,Mn2F7
mp-554340,0.1231027108785798,CrF2
mp-978114,0.135978928737716,Sn5O6
mp-23288,0.081166511176823,AlBr3
mp-1196387,0.0878563144250286,W3I8
mp-1196867,0.210426477070442,LaN3
mp-1204051,0.1006457877152087,Na2O9
mp-756041,0.1340680818483571,CrO3
mp-19795,0.1790933178701264,InS
mp-23176,0.0823899304313498,SbCl5
mp-1178951,0.1222074567398787,TeO4
mp-636675,0.0858682933174316,Ga2I3
mp-23281,0.0786573719955831,SbI3
mp-27628,0.0874206276946143,Te3Cl2
mp-30953,0.0801189451877862,GaBr3
mp-1190647,0.0442234606202551,Ge3F8
mp-29369,0.039868110177917,Sb7F29
mp-23216,0.0842262897822916,SnBr4
mp-27864,0.0531038611269875,BF2
mp-850411,0.293780004310039,Fe7S8
mp-1180536,0.0965163422133606,NaO8
mp-27342,0.0718695403517392,Ge5F12
mp-30092,0.0830514595362298,TiCl4
mp-1095323,0.1324038133131171,WO5
mp-760030,0.0896758747749732,V5F11
mp-28338,0.0560118120840818,Mn2O7
mp-1199451,0.235847290522598,B2S3
mp-1197907,0.0964732818982137,W2Br5
mp-570285,0.0856705605893659,SiBr4
mp-540786,0.1461748385990914,Mo4O11
mp-1200183,0.1706031941325194,BS2
mp-28391,0.0781450269045564,SiCl4
mp-569814,0.0861942320819673,TiBr4
mp-569578,0.0825875058698825,NbI5
mp-571246,0.0843829712741108,GeBr4
mp-30086,0.0793468115456193,GeCl4
mp-27896,0.0638543814946535,BF3
mp-1195825,0.1111880100430546,SiBr2
mp-13685,0.2428901168935555,Cr2S3
mp-571292,0.0888863473401795,ZnI2
mp-755875,0.2250803590425147,Ti3O4
mp-557870,0.1079081735178617,LaF3
mp-849078,0.2457090030132407,Ni2S
mp-1187734,0.1780492318006452,V3Br
mp-1009657,0.2390205881214666,CaN2
mp-980941,0.2272681300286874,Ti3N
mp-1001117,0.3257146334808866,Mn3N2
mp-976404,0.0997546065166322,NaF3
mp-1534,0.2202077294580584,YS
mp-1416,0.1391363648421013,NbF4
mp-1216472,0.3837968752380859,V4N3
mp-1187787,0.1501101900278278,V3F
mp-1022728,0.1541773738852631,Cu3O2
mp-973896,0.1170888226819283,Ni3I
mp-1218021,0.3306596478261336,Ta4N3
mp-555,0.2473576732439791,Fe8N
mp-1183756,0.1359398247891699,Co3I
mp-1080192,0.2896863613061544,Ti3N4
mp-1183589,0.1325223568493145,CaF3
mp-1188007,0.2099969060799069,Zr3N
mp-23194,0.0975730999374445,LaI2
mp-978272,0.1066838790955494,Mg3Br
mp-1185862,0.1305351546943557,MgF3
mp-1079812,0.0962863404135537,B9N
mp-1217135,0.2280286450127359,Ti4O3
mp-1187906,0.2054002712181311,Zn3N
mp-976881,0.2485485670556245,Ni3S
mp-1178600,0.3453095117082637,ZrN2
mp-1184665,0.1481512546089518,Ge3O
mp-30064,0.184014197209223,V16O3
mp-1185148,0.0859273686131589,KCl3
mp-1185951,0.1075348440424917,Mn3Br
mp-1224391,0.3594701696205533,Hf4N3
mp-1185003,0.1895870540900401,La3Cl
mp-1214764,0.1139099294883028,BO3
mp-1179275,0.1681038345650009,Si4O9
mp-504768,0.1711133532312192,CuN3
mp-673633,0.1812129635380039,In2S3
mp-1221525,0.2757010972603617,Mo2N
mp-1246268,0.0870345386563399,NaI
mp-1194100,0.1350126534145521,Mn3O4
mp-30065,0.1334746096912784,V13O16
mp-1183728,0.2976286882357145,Co2S3
mp-1221594,0.0827752930074049,MnO4
mp-27191,0.2063907790807919,Zr9S2
mp-672264,0.1656180390331934,WN18
mp-10735,0.1813225853762426,Zr2O
mp-1220654,0.2938871632122217,Nb5S8
mp-1188353,0.262151934265563,Fe3N
mp-1096967,0.1142323303150659,FeF3
mp-1213805,0.0848345288449774,CrI3
mp-752989,0.198291664747607,Ti8O13
mp-23309,0.0858575096802494,ScCl3
mp-867575,0.0894455794299806,Mn7F16
mp-23162,0.0984129725843282,ZrCl2
mp-29109,0.0892584718580095,SiI3
mp-778470,0.185567863525542,Mn2O3
mp-27734,0.0891409853533383,CrBr3
mp-23186,0.083648656516471,Sc7Cl12
mp-1181164,0.1799279702335481,Mo3S4
mp-23269,0.0949727365422741,WCl3
mp-28117,0.0750325798589998,VCl3
mp-1875,0.0282919639097996,TeF6
mp-28214,0.0903483494791919,TiBr3
mp-27127,0.1728869426171111,Te4O9
mp-510350,0.1549648448514697,SbN9
mp-28495,0.0890736275947432,ZrBr2
mp-705414,0.2202011088970825,Fe13O14
mp-571442,0.0857320933272164,YI3
mp-28483,0.0856929458844344,WBr6
mp-764326,0.2203776867378441,Fe12O13
mp-23178,0.0799951747079271,WCl6
mp-23232,0.0909483019170783,FeBr3
mp-1180654,0.0927379405034223,NiF3
mp-1215377,0.1815682940458065,Zr4O
mp-31033,0.112416247419232,HfF4
mp-1209717,0.0754476940103705,TiF6
mp-567273,0.0800893273273906,HfI4
mp-569561,0.0826564298694936,TeCl4
mp-1182499,0.1720483795056233,B5I
mp-7457,0.0690007823279148,SnF2
mp-558380,0.1156220984677899,Cr2F5
mp-1213622,0.0814891834169581,FeF6
mp-684887,0.2825606017623975,Fe24N11
mp-753215,0.059285440106393,Mn2F5
mp-588,0.1072047261305024,GaF3
mp-32566,0.192663693401062,Si3O
mp-1203031,0.1114301754493462,Sn3S7
mp-1208424,0.0876856023694664,TeBr4
mp-568692,0.0960930640614822,In4Br7
mp-684971,0.5233425952537634,Nb11S12
mp-560338,0.0982508218162031,CrF3
mp-541013,0.0848066988558251,TiI4
mp-680178,0.0959608761889069,In5Br7
mp-1094139,0.1964295042283575,Ni2O5
mp-541155,0.176097192885949,VS4
mp-1179195,0.1610140536701414,Si2O3
mp-1215419,0.2120792257016742,Zr3S2
mp-1094067,0.112987549492582,ScF3
mp-850086,0.2718553433212869,Ni3S2
mp-1217073,0.230047545077239,Ti3S2
mp-1017,0.1991225403578183,Zr3O
mp-1213655,0.1215215992280727,GaO5
mp-1216967,0.3242833501012033,W7N6
mp-1217121,0.2205405882818386,Ti3S4
mp-555599,0.1971807725243926,CuS
mp-539,0.1996989656642626,Ga2S3
mp-1220475,0.3303472021423128,Nb7S8
mp-1014358,0.2087740075256878,Cr3N4
mp-641541,0.2763689147422852,Ge3N4
mp-1224388,0.3026170569192343,Hf3N2
mp-684964,0.1950489768311635,Cu11S20
mp-594,0.265264775785249,NiS
mp-685056,0.1923126404571906,Cu9S16
mp-555170,0.4951911371765843,B12S
mp-998903,0.329312444038917,TiN
mp-1217915,0.1364402832953223,TaS2
mp-571386,0.090436341990774,CuCl
mp-1221487,0.0828995818067462,MoCl6
mp-21476,0.2872631133697281,Fe2N
mp-33090,0.393768356384414,V2N
mp-10196,0.342238388715887,Ta2N
mp-27908,0.282082014358428,Fe12N5
mp-8780,0.2181453842692526,Cr2N
mp-1220726,0.3580226722858738,Nb2N
mp-554098,0.1809879773280663,Ti6O
mp-28384,0.0877404514987246,GaBr2
mp-570738,0.0818361877735189,GaI2
mp-1311,0.2424424511490861,Cr5S6
mp-2416,0.1492355932919985,YF3
mp-1103073,0.0882390766761618,Sb2Br9
mp-27440,0.0864258599021051,ZrCl
mp-571084,0.0903893018272383,MnBr2
mp-1018138,0.0826962893671885,VI2
mp-27943,0.3098069873168509,W2N
mp-567677,0.0848122194259491,GeI2
mp-1009836,0.3048528845379226,ZrN
mp-28013,0.0857356975171597,MnI2
mp-1186,0.2060760895590742,ZrS2
mp-985829,0.2319766693733633,HfS2
mp-30031,0.0862575593136476,CaI2
mp-1069841,0.384047311898454,V2N3
mp-1225831,0.1630115444560219,Cu10N3
mp-29950,0.1004521156376133,Nb3Cl8
mp-12627,0.2486970453411821,Nb3S4
mp-23205,0.0853854794636162,MgI2
mp-614006,0.2660203615012033,B2O
mp-1217984,0.259908885299987,Ta3N
