System,material_id,num__ElementProperty_MagpieData maximum NpValence,Shear Modulus Voigt,range oxidation state,Melting Point (K),num__ElementProperty_MagpieData avg_dev GSbandgap,num__ElementProperty_MagpieData mode NUnfilled,num__ElementProperty_MagpieData mean NUnfilled,num__DensityFeatures_vpa,num__ElementProperty_MagpieData mean NpUnfilled,num__ElementProperty_MagpieData range SpaceGroupNumber,spacegroup_num,crystal_system_int,density,natoms,structural complexity per atom,structural complexity per cell,mean absolute deviation in relative bond length,max relative bond length,min relative bond length,maximum neighbor distance variation,range neighbor distance variation,mean neighbor distance variation,avg_dev neighbor distance variation,mean absolute deviation in relative cell size,mean Average bond length,std_dev Average bond length,mean Average bond angle,std_dev Average bond angle,mean CN_VoronoiNN,std_dev CN_VoronoiNN,vpa,packing fraction,a,b,c,alpha,beta,gamma
ZnCl2,mp-22889,5.0,6.095,3,846.0,1.108,1.0,0.6666666666666666,25.60537047270228,0.6666666666666666,130.0,33.0,5.0,2.675356626097958,12.0,1.584962500721156,19.01955000865388,0.1291557091478508,1.1072386805903558,0.8062664362782235,0.2418243243989633,0.111782678317114,0.2022599905227469,0.0481455629605983,0.1997148640714935,2.304164020786218,0.0006756841013884,1.9649078595615708,0.0542272936861118,16.666666666666668,2.0548046676563247,28.20264247259671,0.2208253491119744,8.095041,6.575851,6.3577,90.0,90.0,90.0
CaC4,mp-1022724,2.0,70.117,8,2429.0,1.43872,4.0,3.2,9.965781384810883,3.2,31.0,123.0,4.0,2.9366092428849475,5.0,0.7219280948873623,3.6096404744368114,0.1369648812117898,1.3424122030294745,0.9143969492426312,0.3086095233096466,0.2733331936244122,0.2539428845847641,0.0874666219598118,0.2546212255793629,2.314656959857716,0.2192212326998678,1.1436216535764037,0.3080467514369284,11.2,4.4,9.965781384810883,0.6055931485969236,3.95847,3.547946,3.547946,90.0,90.0,90.0
GaP,mp-2490,3.0,53.506,6,1723.0,0.8125,3.0,4.0,20.25293335964855,4.0,62.0,216.0,1.0,4.006313948032648,2.0,1.0,2.0,0.0,1.0,1.0,0.1609583056029255,0.0,0.1609583056029255,0.0,5.107305557763246e-16,2.3842978408899453,3.1401849173675503e-16,1.9106332362490184,1.5700924586837752e-16,16.0,0.0,20.86842252898073,0.3208570812217537,3.89354207,3.89354207,3.89354207,60.00000000000001,60.00000000000001,59.99999999999999
SnO,mp-2097,4.0,30.353,4,1224.0,0.0,2.0,3.0,17.769148129457438,3.0,129.0,129.0,4.0,5.94245535118784,4.0,1.0,4.0,0.0792763352117292,1.0792763352117294,0.9207236647882708,0.272271288792383,0.1372134822945137,0.2036645476451262,0.0686067411472568,0.1369944545604571,2.257404018221976,0.0,1.5707963267948966,0.2682222729607343,14.0,2.0,18.82136293293836,0.3632794625719988,5.025226,3.870595,3.870595,90.0,90.0,90.0
NbO,mp-2311,4.0,154.973,4,2219.0,0.0,2.0,4.5,12.79288449622154,1.0,217.0,221.0,1.0,7.010466903707777,6.0,1.0,6.0,1.1102230246251563e-16,1.0000000000000002,1.0,0.1715728752538099,8.326672684688674e-17,0.1715728752538099,2.775557561562892e-17,9.181547219177159e-17,2.1307285,0.0,1.5707963267948966,9.064933036736788e-17,12.0,0.0,12.898021048783868,0.5301134635530055,4.261457,4.261457,4.261457,90.0,90.0,90.0
CaF2,mp-2741,5.0,39.925,3,1661.0,0.8755555555555556,1.0,0.6666666666666666,13.986330735270302,0.6666666666666666,210.0,225.0,1.0,3.08983255359299,3.0,0.9182958340544896,2.7548875021634687,0.0372571044448609,1.0279428283336458,0.9441143433327084,0.0694883006156827,0.0694883006156827,0.0463255337437885,0.0308836891625256,0.1041666666666668,2.388520577494773,3.6259732146947156e-16,1.6840752966129369,0.320401310896651,9.333333333333334,0.9428090415820634,13.986331170479726,0.6071695217990706,3.90043777,3.90043777,3.90043777,60.00000000000001,60.00000000000001,59.99999999999999
P2W,mp-11328,3.0,134.273,9,1965.0,0.7222222222222223,3.0,4.0,14.778945113015842,2.0,227.0,36.0,5.0,9.119852412032444,6.0,1.584962500721156,9.509775004326936,0.0202839331036135,1.0304258996554203,0.9751855487318898,0.1397692576940424,0.0776827173553989,0.1075832688488126,0.0303311523401127,0.0495662458646218,2.4536228766377195,0.0358435780505558,1.4586072547763669,0.1159586965496755,14.0,0.8164965809277259,14.917630999102949,0.4174830688777509,5.83943625,5.007392,3.181343998414728,105.807228415,90.00000000000001,89.99999999999999
Ni3Se4,mp-573,4.0,35.225,6,1205.0,0.3913469387755102,2.0,2.0,16.60820038303699,1.1428571428571428,211.0,12.0,6.0,6.9705151747953655,7.0,1.9502120649147463,13.651484454403224,0.0631700454740655,1.0559506950325928,0.921707814578398,0.1648250665224095,0.1485002324637365,0.0992426332668262,0.066526616743853,0.1251845631513646,2.4595168040118267,0.0293388163156381,1.3722527287378072,0.0870045890312867,14.285714285714285,3.452298849598449,16.740978170825667,0.4812868565095517,6.24691109,6.1968017,3.674005997480396,118.97127600000002,107.10152799,90.0
Ga2O3,mp-886,4.0,76.469,5,2105.0,0.0,2.0,3.2,10.573376293730536,3.2,52.0,12.0,6.0,5.680273093175992,10.0,2.3219280948873617,23.21928094887362,0.0735091729166982,1.09487229324749,0.9015149832297724,0.2268507714279943,0.19335033276576,0.1646999884454403,0.0532725372968772,0.1146511586822292,1.9520052320050425,0.0691734020328776,1.7986081694553069,0.1963254876293182,16.4,4.079215610874228,10.959276317031266,0.3854247233407486,6.414205,5.87615358,3.082968000726858,103.90563258,103.2751198,90.0
CuCl2,mp-30999,5.0,8.102,3,877.0,1.108,1.0,1.0,22.82086545462278,0.6666666666666666,161.0,12.0,6.0,2.95262219578322,3.0,0.9182958340544896,2.7548875021634687,0.115046910900753,1.0862851831755649,0.8274296336488702,0.1862582907082655,0.0355243450121861,0.1744168423708701,0.0157885977831938,0.2128392061185925,2.2810157180249107,0.0,1.5909249515699244,0.056932348297527,13.333333333333336,3.771236166328253,25.20503021855536,0.2470879152252141,6.300695196846801,4.10069857,3.321756003506204,81.53057404409473,74.71607981491464,66.10741986500001
Nb2O5,mp-10426,4.0,24.79,7,1876.0,0.0,2.0,3.4285714285714284,11.900655376684671,1.4285714285714286,217.0,5.0,6.0,5.298477512281965,7.0,1.9502120649147463,13.651484454403224,0.0550105386231819,1.0598062407988749,0.9037315574094316,0.1301635667765854,0.0517312192612516,0.118094379541937,0.011916502121453,0.1115882169464411,2.1141894326626938,0.1040893527317192,1.6068409195900455,0.2850509955076565,14.857142857142858,3.313546715640915,11.900655361304562,0.3608924236830249,5.771191795961259,4.05615517,4.05615517,109.45530189524052,104.84673188781588,99.29526603
Nb6C5,mp-2760,2.0,163.213,9,3545.0,2.2294214876033056,7.0,5.636363636363637,12.419337731728415,1.818181818181818,35.0,12.0,6.0,7.503639259305853,11.0,2.1867043459100244,24.05374780501027,0.0523438808394245,1.05315588759347,0.9414930139759,0.1564481955626485,0.1524670959966233,0.0923641233154966,0.0679160446566258,0.0941495812231923,2.2305371982372417,0.0050829729927041,1.5487318280092663,0.0209661975721464,14.545454545454543,3.576784649619273,12.42268974893446,0.6132772160041654,5.51213825,5.51006217,5.51006217,119.86766447,99.71234303,99.71234303
ZrCl3,mp-22871,5.0,5.701,4,1021.0,0.934875,1.0,2.75,27.96977783896333,0.75,130.0,193.0,2.0,2.562224330415872,8.0,0.8112781244591328,6.490224995673063,0.1230161423833682,1.0820107815644555,0.7539677152332636,0.1334652857063289,0.1124221811266059,0.1053597371611262,0.0421583162907016,0.2434034167308839,2.56569928797252,8.25512044382127e-08,1.339709495883366,0.1163139944807204,14.5,3.840572873934304,32.01264241830333,0.2199513974056131,6.963685998363862,6.96368515,6.098213,120.00000403000004,90.00000000000001,90.0
